Category-Item,vehicle-class,Unnamed: 0_level_0-Unnamed: 0_level_1,Comfort-Air conditioning,Comfort-Central door locking,Comfort-Cruise control,Comfort-Dual zone climatronic,Comfort-Electric windows,Comfort-Keyless entry,Comfort-Parking sensors,Comfort-Power steering,Comfort-Start / stop system,Comfort-Start button,Drive-Drive system,Drive-Fuel,Drive-Total max power,Drive-Total max torque,Drive-Wheel drive,Electric Engine-Battery capacity,Electric Engine-Battery type,Electric Engine-Battery voltage,Electric Engine-Charging 230V/16A,Electric Engine-Engine type,Electric Engine-Max torque,Electric Engine-Number of engines,Electric Engine-Total max power,Electric Engine-Battery range,Electric Engine-Power consumption,Exterior sizes-Height,Exterior sizes-Length,Exterior sizes-Wheelbase,Exterior sizes-Width,Exterior sizes-Ground clearance,Fuel Engine-Capacity,Fuel Engine-Catalyst,Fuel Engine-Cylinders,Fuel Engine-Engine type,Fuel Engine-Fuel system,Fuel Engine-Fuel tank,Fuel Engine-Max power RPM,Fuel Engine-Max power,Fuel Engine-Max torque RPM,Fuel Engine-Max torque,Fuel Engine-Turbo,Fuel Engine-Valves per cylinder,General Specifications-Carbody,General Specifications-Doors number,General Specifications-End date,General Specifications-Last new price,General Specifications-Number of car seats,General Specifications-Release date,General Specifications-Transmission,Performance-Acceleration 0-100 km/h,Performance-Average consumption,Performance-CO2 Emission,Performance-Energy level,Performance-Extra-urban consumption,Performance-Top speed,Performance-Urban consumption,Transmission  / Gear ratio-Final drive,Transmission  / Gear ratio-RPM at 120 km/h (theoretical),Weights-Empty mass,Weights-Max. permissible mass,Weights-Max. roof load,Fuel Engine-Stroke,Chassis-Rolling Radius Static,Chassis-Rolling Radius Dynamic,Transmission  / Gear ratio-Gear Box Ratios,Weights-Unladen mass,Weights-Running order mass,Weights-Reference mass,Weights-Inertia mass,Exterior sizes-Frontal area,Class-Euro standard car segments
34286,M,48741,yes,yes,yes,yes,,yes,yes,yes,yes,,fuel engine,petrol,85,190,front,,,,,,,,,,,1.64,4.366,2.702,1.845,,1198,regular,4,dohc,direct injection,60,4500,85,2000,190,yes,4,mpv,5,2015,27690,5,2014,manual,11.7,5.9,135,B,5.2,185,7.2,4.73,3350,1295,1955,,73.1,303.845,319.0776699,[3.73- 2.11- 1.45- 1.09- 0.87- 0.73],1254.5,1329.5,1354.5,1360,3.0258,M
34279,M,48734,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,diesel,81,260,front,,,,,,,,,,,1.64,4.366,2.702,1.845,,1461,particle filter,4,dohc,common rail,60,4000,81,1750,260,yes,2,mpv,5,available,30790,5,2014,manual,12.5,4.1,105,B,3.9,180,4.5,4.13,2550,1360,1967,,80.5,299.14,316.6990291,[3.73- 1.96- 1.32- 0.98- 0.76- 0.64],1319.5,1394.5,1419.5,1360,3.0258,M
20699,M,28108,yes,yes,yes,yes,,no,585,yes,no,,fuel engine,petrol,103,220,front,,,,,,,,,,,1.674,4.397,2.678,1.794,,1390,regular,4,dohc,direct injection,60,5600,103,1500,220,yes,4,mpv,5,2015,37290,7,2014,automatic,9.5,6.6,154,D,5.6,202,8.5,3.23,2600,1436,2150,100,75.6,291.145,306.7475728,[3.77- 2.27- 1.53- 1.12- 1.18- 0.95- 0.8],1395.5,1470.5,1495.5,1470,3.003156,M
20706,M,28115,yes,yes,yes,yes,,no,585,yes,yes,,fuel engine,diesel,77,250,front,,,,,,,,,,,1.674,4.397,2.678,1.794,,1598,particle filter,4,dohc,common rail,60,4400,77,1500,250,yes,4,mpv,5,2015,35390,7,2014,manual,12.8,4.6,121,E,4.1,186,5.5,3.65,2300,1444,2180,100,80.5,291.145,306.7475728,[4.11- 2.12- 1.36- 0.97- 0.77- 0.63],1403.5,1478.5,1503.5,1470,3.003156,M
34058,M,48494,yes,yes,yes,yes,,no,yes,yes,no,,fuel engine,petrol,115,240,front,,,,,,,,,,,1.639,4.365,2.613,1.837,,1598,regular,4,dohc,direct injection,60,6000,115,1400,240,yes,4,mpv,5,available,31950,5,2014,manual,8.9,6.9,159,D,5.5,202,9.3,4.18,2750,1434,2020,75,85.8,303.65,318.8349515,[3.54- 1.92- 1.33- 1.03- 0.82- 0.68],1393.5,1468.5,1493.5,1470,3.010843,M
34057,M,48493,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,diesel,85,270,front,,,,,,,,,,,1.639,4.365,2.613,1.837,,1560,particle filter,4,dohc,common rail,60,3600,85,1750,270,yes,4,mpv,5,2014,32850,5,2014,automatic,12.6,4.2,110,C,4,183,4.5,4.18,2450,1398,2020,75,88.3,303.65,318.8349515,[3.54- 1.92- 1.32- 0.98- 0.76- 0.6],1357.5,1432.5,1457.5,1470,3.010843,M
24268,M,34104,yes,yes,yes,yes,,yes,yes,yes,no,,fuel engine,petrol,118,240,front,,,,,,,,,,,1.658,4.768,2.85,1.884,,1596,regular,4,dohc,direct injection,70,5700,118,1750,240,yes,4,mpv,5,available,39885,05-Jul,2013,manual,9.8,7,159,C,5.7,204,9.4,4.07,,1498,2400,75,81.4,303.65,318.8349515,[3.8- 2.14- 1.48- 1.11- 0.9],1450.75,1525.75,1550.75,1470,3.123672,M
24288,M,34124,yes,yes,yes,yes,,no,no,yes,no,,fuel engine,diesel,103,320,front,,,,,,,,,,,1.658,4.768,2.85,1.884,,1997,particle filter,4,dohc,common rail,70,4000,103,1750,320,yes,4,mpv,5,2014,43695,05-Jul,2013,manual,10.2,5.7,139,C,4.9,196,7.2,2.96,2250,1590,2505,75,88,303.65,318.8349515,[3.58- 1.95- 1.24- 0.87- 0.94- 0.79],1542.75,1617.75,1642.75,1590,3.123672,M
19028,M,25734,yes,yes,yes,no,,no,no,yes,yes,,fuel engine,petrol,103,200,front,,,,,,,,,,,1.685,4.658,2.76,1.82,,1364,regular,4,dohc,multipoint injection,58,4900,103,1850,200,yes,4,mpv,5,available,28195,05-Jul,2015,manual,10.7,6.1,144,C,5.3,202,7.6,3.83,2950,1513,2295,,82.6,303.65,318.8349515,[4.27- 2.35- 1.57- 1.15- 0.94- 0.8],1473.85,1548.85,1573.85,1590,3.0667,M
19058,M,25764,yes,yes,yes,yes,,no,no,yes,yes,,fuel engine,diesel,125,400,front,,,,,,,,,,,1.685,4.658,2.76,1.82,,1956,particle filter,4,dohc,common rail,58,3750,125,1750,400,yes,4,mpv,5,available,38645,05-Jul,2015,manual,9.8,4.9,129,D,4.2,208,6.1,3.35,2000,1633,2410,,90.4,303.65,318.8349515,[4.17- 2.13- 1.32- 0.95- 0.76- 0.62],1593.85,1668.85,1693.85,1700,3.0667,M
